"","Name","Location","Tags","Type","Source Zone","Source Address","Source User","Source Device","Destination Zone","Destination Address","Destination Device","Application","Service","Action","Profile","Options","Target"
"1","STD_IOT_TO_DMZ2_4496","Shared","app-team","universal","iot","10.127.106.0/24","any","any","dmz2","10.103.158.0/24","any","voip-generic","application-default","Allow","none","","any"
"2","STD_DMZ2_TO_IOT_7260","Shared","app-team","universal","dmz2","10.103.177.0/24","any","any","iot","10.127.141.0/24","any","smtp","application-default","Allow","none","","any"
"3","STD_VOIP_TO_POS_17150","Shared","none","universal","voip","10.155.115.0/24","any","any","pos","10.22.160.0/24","any","kerberos","application-default","Allow","strict","","any"
"4","STD_INSIDE_TO_MGMT_4467","Shared","standard","universal","inside","10.46.95.0/24","any","any","mgmt","10.136.60.0/24","any","ldap","application-default","Allow","strict","","any"
"5","STD_INSIDE_TO_DMZ2_5031","Shared","none","universal","inside","10.46.246.0/24","any","any","dmz2","10.103.232.0/24","any","voip-generic","application-default","Allow","strict","","any"
"6","STD_DMZ2_TO_DMZ_11025","Shared","standard","universal","dmz2","10.103.123.0/24","any","any","dmz","10.28.16.0/24","any","ntp","application-default","Allow","strict","","any"
"7","STD_MGMT_TO_OUTSIDE_15925","Shared","app-team","universal","mgmt","10.136.176.0/24","any","any","outside","88.1.121.28/32","any","sip","application-default","Allow","strict","","any"
"8","STD_DMZ2_TO_VOIP_1750","Shared","standard","universal","dmz2","10.103.108.0/24","any","any","voip","10.155.38.0/24","any","web-browsing","application-default","Allow","none","","any"
"9","STD_MGMT_TO_DMZ2_7173","Shared","app-team","universal","mgmt","10.136.60.0/24","any","any","dmz2","10.103.117.0/24","any","smtp","application-default","Allow","strict","","any"
"10","STD_DMZ_TO_DMZ2_13788","Shared","none","universal","dmz","10.28.223.0/24","any","any","dmz2","10.103.30.0/24","any","sip","application-default","Allow","strict","","any"
"11","STD_MGMT_TO_INSIDE_15858","Shared","app-team","universal","mgmt","10.136.135.0/24","any","any","inside","10.46.121.0/24","any","sip","application-default","Allow","strict","","any"
"12","STD_OUTSIDE_TO_DMZ_18554","Shared","standard","universal","outside","any","any","any","dmz","10.28.138.0/24","any","mqtt","application-default","Allow","strict","","any"
"13","STD_IOT_TO_OUTSIDE_1295","Shared","standard","universal","iot","10.127.20.0/24","any","any","outside","88.237.106.141/32","any","ldap","application-default","Allow","strict","","any"
"14","INBOUND_OUTSIDE_TO_DMZ_96","Shared","web-tier","universal","outside","any","any","any","dmz","91.122.101.33/32","any","teamviewer","application-default","Allow","strict","","any"
"15","STD_INSIDE_TO_DMZ2_15633","Shared","none","universal","inside","10.46.110.0/24","any","any","dmz2","10.103.109.0/24","any","ntp","application-default","Allow","strict","","any"
"16","STD_INSIDE_TO_IOT_16478","Shared","standard","universal","inside","10.46.222.0/24","any","any","iot","10.127.208.0/24","any","ssl","application-default","Allow","strict","","any"
"17","STD_POS_TO_OUTSIDE_8161","Shared","standard","universal","pos","10.22.93.0/24","any","any","outside","45.151.5.28/32","any","web-browsing","application-default","Allow","none","","any"
"18","STD_VOIP_TO_IOT_10805","Shared","app-team","universal","voip","10.155.89.0/24","any","any","iot","10.127.70.0/24","any","ping","application-default","Allow","none","","any"
"19","STD_OUTSIDE_TO_INSIDE_5788","Shared","app-team","universal","outside","any","any","any","inside","10.46.115.0/24","any","snmp-base","application-default","Allow","strict","","any"
"20","STD_DMZ2_TO_IOT_506","Shared","none","universal","dmz2","10.103.252.0/24","any","any","iot","10.127.128.0/24","any","web-browsing","application-default","Allow","strict","","any"
"21","STD_INSIDE_TO_VOIP_13471","Shared","standard","universal","inside","10.46.137.0/24","any","any","voip","10.155.217.0/24","any","mqtt","application-default","Allow","strict","","any"
"22","STD_OUTSIDE_TO_POS_4996","Shared","none","universal","outside","any","any","any","pos","10.22.1.0/24","any","sip","application-default","Allow","none","","any"
